text,label
"Send me pics or I'll leak everything you sent me before.",1
"If you ignore me again I’ll just wait for you outside your house.",1
"Why aren't you answering? Pick up right now. Answer me.",1
"You can't block me. I'll keep making new accounts until you listen.",1
"I'm outside your building. Come downstairs now.",1
"Stop texting me. Leave me alone. Do not contact me again.",0
"Hey just checking if you're okay. Haven't heard from you in a while.",0
"Good morning! Hope you got home safe last night :)",0
"Please stop messaging me. I don't want to talk to you anymore.",1
"Share your live location right now. Don't make me come find you.",1
"I told you I'd ruin your life if you keep ignoring me.",1
"We can talk later if you want. If not, it's totally fine.",0
"I'll tell your parents and post your photos if you don't reply.",1
"No worries, have a good night.",0
"Why did you block me? That's not going to work. I'm still going to find you.",1
