id,message,label,platform,timestamp
2605,"No worries, take your time.",0,Discord,2024-10-29T07:25:00
3901,Why did you block me? Answer me now!!!!,1,Discord,2024-10-02T13:59:00
2133,"Happy to help, call me if needed. - btw, call me.",0,Telegram,2024-10-01T12:03:00
3436,Who are you with? Send me a picture.!!! Reply me now!,1,WhatsApp,2024-11-27T10:59:00
1331,"Got it, I'll be there.",0,Telegram,2024-10-18T19:16:00
3910,"I saw you last night with him, tell me who he is.!!1",1,SMS,2024-10-17T17:32:00
193,"Thanks! See you Monday. - btw, call me.",0,SMS,2024-10-03T23:50:00
3644,If you don't reply I'll come to your house.Now.,1,Instagram,2024-11-14T00:56:00
4421,Why are you with them? Send location immediately.Reply ASAP. Reply me now!,1,Facebook,2024-11-22T04:00:00
4757,"You were active 2 minutes ago, why didn't you respond?!!1",1,Facebook,2024-10-14T23:24:00
263,"That's hilarious 😂 - btw, call me.",0,Discord,2024-11-02T17:01:00
2530,"Sounds good, talk later. Edited message. Also, did you get the documents?",0,Facebook,2024-11-22T05:34:00
1711,"Sure, send me the file when you can. - btw, call me.",0,Discord,2024-10-04T18:27:00
4211,If you don't reply I'll come to your house.,1,Twitter,2024-11-30T09:07:00
2404,"Hey, are we still on for later? Sent from mobile.",0,Instagram,2024-11-25T04:32:00
4780,Where are you? Reply now!!!!1 Call me at 9229053698,1,Discord,2024-10-06T16:46:00
639,That's hilarious 😂 Edited message.,0,SMS,2024-11-19T23:36:00
2355,"Got it, I'll be there. Also, did you get the documents?",0,Facebook,2024-10-10T17:36:00
1703,Thanks! See you tomorrow. Edited message. Let's reschedule if needed.,0,WhatsApp,2024-11-01T23:48:00
1896,"Sure, send me the file when you can.",0,Instagram,2024-11-06T16:36:00
3515,"I saw you last night with him, tell me who he is.!!!",1,Facebook,2024-11-25T12:27:00
3563,Where are you? Reply now!!Now. Where are you?,1,SMS,2024-10-08T19:30:00
3687,"You were active 2 minutes ago, why didn't you respond?",1,Instagram,2024-11-03T13:46:00
864,"Sure, send me the file when you can. Edited message.",0,WhatsApp,2024-10-08T21:26:00
3438,Why did you block me? Answer me now!Now.,1,Instagram,2024-11-21T19:03:00
56,"Got it, I'll be there.",0,SMS,2024-11-05T04:27:00
1732,"Sure, send me the file when you can. - btw, call me.",0,SMS,2024-10-20T05:50:00
2497,Congrats on your achievement! Sent from mobile.,0,Twitter,2024-11-21T15:23:00
3379,Why didn't you reply? I saw you online.Reply ASAP.,1,Telegram,2024-10-07T18:56:00
3251,Who are you with? Send me a picture.?? Where are you?,1,SMS,2024-10-05T11:53:00
2077,Congrats on your achievement! Thanks!,0,Twitter,2024-10-07T21:56:00
1386,"Sounds good, talk later. Edited message.",0,Discord,2024-10-09T16:37:00
3852,"You were active 2 minutes ago, why didn't you respond?I mean it.",1,Twitter,2024-11-07T06:06:00
1942,"Sure, send me the file when you can. Sent from mobile.",0,Telegram,2024-10-17T01:17:00
2797,"Sure, send me the file when you can. :) Let's reschedule if needed.",0,Instagram,2024-11-10T08:17:00
